player,playerLabel,dateOfBirth,teamLabels,awardLabels
http://www.wikidata.org/entity/Q5668611,Harry Edwards,1942-11-22T00:00:00Z,San Jose State Spartans men's basketball,Honorary doctor of the University of Lausanne
http://www.wikidata.org/entity/Q5673816,Ana Junyer,1963-07-04T00:00:00Z,"Picadero JC, Spain women's national basketball team, Ros Casares Godella, Q8773153, CB Adepaf Figueres, CB Cantaires",Q67206501
http://www.wikidata.org/entity/Q5688022,Hazel Walker,1914-08-08T00:00:00Z,All American Red Heads Team,"Women's Basketball Hall of Fame, Arkansas Sports Hall of Fame, Helms Athletic Foundation"
http://www.wikidata.org/entity/Q6351914,Kaleena Mosqueda-Lewis,1993-11-03T00:00:00Z,"Seattle Storm, UConn Huskies women's basketball",Huskies of Honor
http://www.wikidata.org/entity/Q6372315,Karl-Anthony Towns,1995-11-15T00:00:00Z,"Minnesota Timberwolves, Kentucky Wildcats men's basketball",NBA Rookie of the Year Award
http://www.wikidata.org/entity/Q6377512,Katie Meier,1967-12-19T00:00:00Z,Duke Blue Devils women's basketball,Associated Press College Basketball Coach of the Year
http://www.wikidata.org/entity/Q6384198,Keith Cieplicki,1963-06-06T00:00:00Z,William & Mary Tribe men's basketball,Vermont Sports Hall of Fame
http://www.wikidata.org/entity/Q6390069,Ronnie Shavlik,1933-12-04T00:00:00Z,"New York Knicks, NC State Wolfpack men's basketball",North Carolina Sports Hall of Fame
http://www.wikidata.org/entity/Q6394457,Kerry Bascom,1965-01-01T00:00:00Z,UConn Huskies women's basketball,"Big East Conference Women's Basketball Player of the Year, Huskies of Honor"
http://www.wikidata.org/entity/Q6396063,Kevin Coombs,1941-05-30T00:00:00Z,"Australia men's national wheelchair basketball team, Australia at the 1960 Summer Paralympics, Australia at the 1968 Summer Paralympics, Australia at the 1972 Summer Paralympics, Australia at the 1980 Summer Paralympics, Australia at the 1984 Summer Paralympics","gold medal, silver medal, Australian Sports Medal, Medal of the Order of Australia"
http://www.wikidata.org/entity/Q6397192,Kevin Pangos,1993-01-26T00:00:00Z,"Olimpia Milano, FC Barcelona Lassa, CB Gran Canaria, Cleveland Cavaliers, B.C. Zenit Saint Petersburg, BC Žalgiris, Canada men's national basketball team, Cleveland Charge, Gonzaga Bulldogs men's basketball",West Coast Conference Men's Basketball Player of the Year
http://www.wikidata.org/entity/Q6437162,Kris Dunn,1994-03-18T00:00:00Z,Providence Friars men's basketball,Big East Conference Men's Basketball Player of the Year
http://www.wikidata.org/entity/Q6490715,Larry Lucchino,1945-09-06T00:00:00Z,Princeton Tigers men's basketball,Boston Red Sox Hall of Fame
http://www.wikidata.org/entity/Q6509847,Leanne Del Toso,1980-08-12T00:00:00Z,Australia women's national wheelchair basketball team at the 2012 Summer Paralympics,Paralympic silver medal
http://www.wikidata.org/entity/Q6681716,Lorri Bauman,1962-01-27T00:00:00Z,Drake Bulldogs women's basketball,Missouri Valley Conference Hall of Fame
http://www.wikidata.org/entity/Q6685697,Lou Pucillo,1936-12-10T00:00:00Z,NC State Wolfpack men's basketball,North Carolina Sports Hall of Fame
http://www.wikidata.org/entity/Q6705642,Luther Strange,1953-03-01T00:00:00Z,Tulane Green Wave men's basketball,Distinguished Eagle Scout Award
http://www.wikidata.org/entity/Q6750840,Mannie Jackson,1939-05-04T00:00:00Z,"Harlem Globetrotters, Illinois Fighting Illini men's basketball","Naismith Memorial Basketball Hall of Fame, Theodore Roosevelt Award"
http://www.wikidata.org/entity/Q6758454,Marcus Smart,1994-03-06T00:00:00Z,"Boston Celtics, United States men's national basketball team, Oklahoma State Cowboys basketball","Big 12 Conference Men's Basketball Player of the Year, USBWA National Freshman of the Year"
http://www.wikidata.org/entity/Q6774076,Mart Laga,1936-05-15T00:00:00Z,University of Tartu basketball team,Master of Sport of the USSR
http://www.wikidata.org/entity/Q6828306,Michael Auprince,1993-02-21T00:00:00Z,Australian Paralympic Swim Team,Medal of the Order of Australia
http://www.wikidata.org/entity/Q6829140,Michael Carter Williams,1991-10-10T00:00:00Z,"Philadelphia 76ers, Milwaukee Bucks, Syracuse Orange men's basketball",NBA Rookie of the Year Award
http://www.wikidata.org/entity/Q6846666,Mike Edwards,1950-01-01T00:00:00Z,Tennessee Volunteers men's basketball,Southeastern Conference Men's Basketball Player of the Year
http://www.wikidata.org/entity/Q6900634,Monk McDonald,1901-02-21T00:00:00Z,"North Carolina Tar Heels men's basketball, North Carolina Tar Heels baseball, North Carolina Tar Heels football",North Carolina Sports Hall of Fame
http://www.wikidata.org/entity/Q6926282,Moustapha Fall,1992-02-23T00:00:00Z,Olympique Antibes,Knight of the National Order of Merit
http://www.wikidata.org/entity/Q6999300,Jiří Drvota,1922-11-30T00:00:00Z,USK Praha,Q68278838
http://www.wikidata.org/entity/Q7051423,Norm Baker,1923-02-17T00:00:00Z,Chicago Stags,Canada's Sports Hall of Fame
http://www.wikidata.org/entity/Q7144117,Pat Williams,1940-05-03T00:00:00Z,Wake Forest Demon Deacons baseball,John Bunn Award
http://www.wikidata.org/entity/Q7150449,Paul Ebert,1932-08-11T00:00:00Z,"Ohio State Buckeyes baseball, Ohio State Buckeyes men's basketball",Theodore Roosevelt Award
http://www.wikidata.org/entity/Q3607520,Al McGuire,1928-09-07T00:00:00Z,"New York Knicks, St. John's Red Storm men's basketball",Associated Press College Basketball Coach of the Year
http://www.wikidata.org/entity/Q3610467,Carlisle Towery,1920-06-20T00:00:00Z,Detroit Pistons,Bronze Star Medal
http://www.wikidata.org/entity/Q3616407,Andrzej Pstrokoński,1936-06-28T00:00:00Z,Legia Warsaw,"Order of Polonia Restituta, Officer of the Order of Polonia Restituta"
